"","principal_eigenvalue","asymmetry","peakedness","eigengap.modalities","Summary_tree","Model"
"312",1778.56525183052,1.01058404113288,2.54219846610972,128,"MRC","Population Null"
"313",9119.1162456256,-0.0295713181595385,2.0265491618561,1,"MCC","Null"
"314",6628.48023138117,-0.191817177496936,1.95438031440682,2,"MRC","Null"
"315",9084.10389740864,0.26925528196202,4.14236781625582,406,"MCC","Population Null"
"316",1771.83712378606,1.00384521698973,2.55020015340875,128,"MRC","Population Null"
"317",9055.7465850237,-0.0293972398151041,2.01889235849067,455,"MCC","Null"
"318",6672.03655133988,-0.180863331667814,1.92830777254988,1,"MRC","Null"
"319",9084.62242754765,0.269999271673437,4.15927981210352,406,"MCC","Population Null"
"320",1778.32600271258,1.01038094294625,2.54229272279955,128,"MRC","Population Null"
"321",9003.27496266189,-0.0291666234798401,2.01274835548715,6,"MCC","Null"
"322",6605.6082655803,-0.202518088348116,1.97333423618055,1,"MRC","Null"
"323",9086.21181590192,0.270319567870911,4.15132414186757,1,"MCC","Population Null"
"324",1772.79239446786,1.00434222205575,2.55101537007953,128,"MRC","Population Null"
"325",9086.60281697109,-0.0272666366887905,2.01415107391769,1,"MCC","Null"
"326",6644.68294699268,-0.188399335992435,1.9368770649676,1,"MRC","Null"
"327",9079.68145154516,0.269186842881111,4.12185425704872,406,"MCC","Population Null"
"328",1776.233590394,1.00701930422466,2.54501448774086,128,"MRC","Population Null"
"329",9032.12271506336,-0.0299873291998407,2.02613711790202,457,"MCC","Null"
"330",6661.08970071695,-0.19190226381997,1.94540123099446,1,"MRC","Null"
"331",9087.2772670304,0.270451223594599,4.1485586620344,1,"MCC","Population Null"
"332",1778.73433295078,1.01037939600179,2.54143539296403,128,"MRC","Population Null"
"333",9132.4178142702,-0.0311646343753438,2.02446942270562,1,"MCC","Null"
"334",6661.0391609442,-0.185238018769427,1.93257871476708,1,"MRC","Null"
"335",9084.02348620792,0.270823605118738,4.17778538468161,1,"MCC","Population Null"
"336",1791.75093678581,1.00193022101386,2.552467204929,129,"MRC","Population Null"
"337",9001.46630085505,-0.0270104513875333,2.01382494048867,457,"MCC","Null"
"338",6626.13431360712,-0.198746267843377,1.94838797545178,1,"MRC","Null"
"339",9084.57480724303,0.270696737313324,4.17805929731882,1,"MCC","Population Null"
"340",1787.83422129496,1.00214057935982,2.55253662867142,129,"MRC","Population Null"
"341",8989.07571395112,-0.0290382544066556,2.03513807929326,457,"MCC","Null"
"342",6661.74849015384,-0.182441457725195,1.93519425889806,456,"MRC","Null"
"343",9083.46376183499,0.269375901061335,4.12952257355866,406,"MCC","Population Null"
"344",1775.98530254756,1.01044162738837,2.54198078828858,128,"MRC","Population Null"
"345",9098.24295466538,-0.0326190915081256,2.02602903217675,1,"MCC","Null"
"346",6631.54056410408,-0.190609585853215,1.93969514892492,1,"MRC","Null"
